"SampleID","TA","Mass","Sample.Index","TA_evap"
"JUNK",2279.53955254444,60.363,1,2279.53955254444
"D_32_1_BC",2093.0816220735,59.8947,2,2091.88625849722
"D_32_2_BC",2073.75532601743,59.978,3,2071.38802541696
"D_32_3_BC",2064.40576478005,60.2531,4,2060.87283991163
"D_32_4_BC",2055.64786949027,59.9426,5,2050.95996100797
"D_32_5_BC",1939.90866561445,59.9307,6,1934.38186029931
"N_32_1_BC",2071.93536886635,59.9712,7,2064.85586305018
"N_32_2_BC",2012.20663999347,59.968,8,2004.18988047159
"N_32_3_BC",2046.98167564362,59.8045,9,2037.66662820042
"N_32_4_BC",2093.58247646862,60.0487,10,2082.87057067656
"N_32_5_BC",2156.4258854423,60.2062,11,2144.17346563865
"D_32_1_AI",2194.68650136982,59.9086,12,2180.97749994162
"D_32_2_AI",2180.00208429978,59.8423,13,2165.15530506505
"D_32_3_AI",2133.09531889434,59.8912,14,2117.36631200516
"D_32_4_AI",2057.17455561448,60.0936,15,2040.84777342706
"N_32_1_AI",2213.42851666801,60.0835,16,2194.61750944421
"N_32_2_AI",2138.79413415014,59.9645,17,2119.41661085094
"N_32_3_AI",2206.54157492039,60.0114,18,2185.31282179439
"N_32_4_AI",2142.90996164486,60.1338,19,2121.09300502178
